,y_act,Reason,Attribute_name,Total_val,num of dist_val,% nans,max_val,mean,min_val,std_dev,sample_1,sample_2,sample_3,sample_4,sample_5
552,Usable Directly Categorical,i,subs4from,9597.0,5.0,75.13806398,4.0,0.044844929,0.0,0.317287324,,0,3,4,2
119,Usable Directly Categorical,i,hm15owner_1,9597.0,5.0,78.70167761,3.0,-16.5,-99.0,37.24386105,,1,0,2,-99
120,Usable Directly Categorical,i,hm15owner_2,9597.0,6.0,87.90246952,4.0,-34.74849268,-99.0,47.38584415,,0,1,-99,2
139,Usable Directly Categorical,i,lm7owner_1,9597.0,6.0,76.43013442,4.0,-14.41290893,-99.0,35.51915302,,0,1,2,4
398,Usable Directly Categorical,j,ppd_id,2720.0,170.0,0.0,173.0,86.44705882,1.0,50.20264954,1,2,3,4,5
400,Usable Directly Categorical,a,fy,2720.0,16.0,0.0,2016.0,2008.5,2001.0,4.609772229,2001,2002,2003,2004,2005
401,Usable Directly Categorical,j,system_id,2720.0,147.0,0.0,149.0,72.63529412,1.0,41.63817453,1,2,3,4,5
402,Usable Directly Categorical,j,ValuationID,2720.0,158.0,0.0,173.0,86.14117647,1.0,50.17924411,1,2,3,4,5
407,Usable Directly Categorical,a,PlanInceptionYear,2720.0,63.0,1.764705882,2000.0,1945.191617,1895.0,18.81804909,1945,1939,1961,1955,1968
409,Usable Directly Categorical,a,PlanYearClosed,2720.0,7.0,95.29411765,2015.0,2001.75,1978.0,11.68064639,,2006,2015,1997,1978
410,Usable Directly Categorical,g,AdministeringGovt,2720.0,4.0,0.0,5.0,0.717647059,0.0,1.21376191799999,0,5,2,1,0
413,Usable Directly Categorical,f,GovtName,2720.0,95.0,0.0,0.0,0.0,0.0,0.0,Alabama,Alaska,Arizona,Arkansas,California
457,Usable Directly Categorical,i,AssetSmoothingPeriod_GASB,2720.0,9.0,10.95588235,10.0,4.56234516899999,0.0,1.88085292199999,5,,4,7,10
605,Usable Directly Categorical,h,source_ActCosts,2720.0,1432.0,20.51470588,0.0,0.0,0.0,0.0,,pg 5 :SECTION I - SUMMARY OF PRINCIPAL RESULTS,pg 7 :SECTION I - SUMMARY OF PRINCIPAL RESULTS,pg 5 :SECTION I - SUMMARY OF PRINCIPAL RESULTS. (member cont page 22 ),pg 5 :SECTION I - SUMMARY OF PRINCIPAL RESULTS. (member cont page 29)
672,Usable Directly Categorical,i,ppd_id,2720.0,170.0,0.0,173.0,86.44705882,1.0,50.20264954,1,2,3,4,5
674,Usable Directly Categorical,a,fy,2720.0,16.0,0.0,2016.0,2008.5,2001.0,4.609772229,2001,2002,2003,2004,2005
675,Usable Directly Categorical,j,system_id,2720.0,147.0,0.0,149.0,72.63529412,1.0,41.63817453,1,2,3,4,5
676,Usable Directly Categorical,j,ValuationID,2720.0,158.0,0.0,173.0,86.14117647,1.0,50.17924411,1,2,3,4,5
684,Usable Directly Categorical,g,AdministeringGovt,2720.0,4.0,0.0,5.0,0.717647059,0.0,1.21376191799999,0,5,2,1,5
687,Usable Directly Categorical,f,GovtName,2720.0,95.0,0.0,0.0,0.0,0.0,0.0,Alabama,Alaska,Arizona,Arkansas,California
731,Usable Directly Categorical,i,AssetSmoothingPeriod_GASB,2720.0,9.0,10.95588235,10.0,4.56234516899999,0.0,1.88085292199999,5,,4,7,10
948,Usable Directly Categorical,h,Variable Name,280.0,233.0,0.0,0.0,0.0,0.0,0.0,ppd_id,PlanName,EEGroupID,TierID,fy
979,Usable Directly Categorical,h,Colour_primary,158026.0,1930.0,2.670446635,0.0,0.0,0.0,0.0,GREY & WHITE,BLACK/WHITE,TAN/WHITE,TRI,WHITE
988,Usable Directly Categorical,j,goodreads_book_id,999912.0,10000.0,0.0,33288638.0,5263441.949,1.0,7574053.30799999,1,2,3,5,6
989,Usable Directly Categorical,j,tag_id,999912.0,34252.0,0.0,34251.0,16324.5270699999,0.0,9647.84137099999,30574,11305,11557,8717,33114
999,Usable Directly Categorical,a,original_publication_year,10000.0,293.0,0.21,2017.0,1981.98767399999,-1750.0,152.5690201,2008,1997,2005,1960,1925
92,Usable Directly Categorical,g,TaxMap,277131.0,206.0,,32605.0,31443.17936,3.0,1170.467271,30101,3,30102,30103,30104
114,Usable Directly Categorical,h,NumBldgs,89830.0,60.0,,2740.0,1.202315485,0.0,9.284930927,1,2,0,3,4
115,Usable Directly Categorical,h,NumFloors,89830.0,46.0,,44.0,2.261825448,0.0,1.474827648,0,1,2,5,3
124,Usable Directly Categorical,i,YearBuilt,89830.0,145.0,,2016.0,1805.10944,0.0,499.9684084,0,1931,1920,1967,1963
125,Usable Directly Categorical,i,YearAlter1,89830.0,107.0,,2015.0,165.2156184,0.0,550.0911394,0,1994,2001,2009,1986
132,Usable Directly Categorical,g,TaxMap,89830.0,92.0,,21906.0,21433.5346,2.0,786.8281339,20901,,20902,20904,2
139,Usable Directly Categorical,g,PolicePrct,42958.0,25.0,,114.0,18.26225759,1.0,9.809040828,1,,5,7,9
154,Usable Directly Categorical,i,YearBuilt,42958.0,194.0,,2040.0,1807.838214,0.0,453.1234835,1900,0,1987,1951,1960
155,Usable Directly Categorical,i,YearAlter1,42958.0,108.0,,2016.0,1023.683225,0.0,994.0831133,0,2006,2014,1996,2009
156,Usable Directly Categorical,i,YearAlter2,42958.0,60.0,,2016.0,175.5968155,0.0,566.7210664,0,2009,2007,2002,2004
207,Usable Directly Categorical,i,YearBuilt,124048.0,148.0,,2016.0,1803.201607,0.0,541.5883337,1884,0,1923,1932,1931
208,Usable Directly Categorical,i,YearAlter1,124048.0,71.0,,2016.0,98.30158487,0.0,432.6703978,2000,0,1991,1983,1986
236,Usable Directly Categorical,i,Abbreviation,46.0,46.0,,0.0,0.0,0.0,0.0,12TH,16TH,19TH,24TH,ASHB
578,Usable Directly Categorical,i,Block,277131.0,7611.0,,8955.0,4758.561319,1.0,2533.038266,1,3,5,6,7
579,Usable Directly Categorical,i,Lot,277131.0,1678.0,,9047.0,151.5687599,1.0,854.2181762,1,50,7501,5,35
621,Usable Directly Categorical,i,YearBuilt,277131.0,193.0,,2016.0,1846.336538,0.0,397.6326959,0,1920,1988,1900,1911
639,Usable Directly Categorical,g,Block,89830.0,3032.0,,9999.0,4130.836925,0.0,1018.352648,2260,2261,0,2302,2362
640,Usable Directly Categorical,g,Lot,89830.0,1963.0,,9978.0,109.6421908,1.0,452.3034075,1,4,10,17,18
683,Usable Directly Categorical,g,Block,42958.0,1963.0,,2255.0,1228.821919,1.0,609.8556327,1,2,3,4,5
684,Usable Directly Categorical,g,Lot,42958.0,640.0,,9220.0,516.671819,1.0,1824.233101,10,101,201,301,401
714,Usable Directly Categorical,h,NumBldgs,42958.0,31.0,,158.0,1.083802784,0.0,1.188742354,158,10,7,0,2
715,Usable Directly Categorical,h,NumFloors,42958.0,107.0,,104.0,5.858859584,0.0,6.074771906,0,5,1,2,3
735,Usable Directly Categorical,g,TaxMap,42958.0,78.0,,10804.0,10405.12194,1.0,714.4175415,10101,1,,10102,10103
741,Usable Directly Categorical,g,Block,324403.0,12163.0,,16350.0,7354.40471,6.0,4450.184429,6,11,13,15,16
742,Usable Directly Categorical,g,Lot,324403.0,1352.0,,9130.0,73.66808568,1.0,414.5831644,1,3,8,20,30
793,Usable Directly Categorical,g,TaxMap,324403.0,272.0,,46303.0,43240.39576,4.0,1997.558161,40101,4,,41601,40102
798,Usable Directly Categorical,g,Block,124048.0,4076.0,,8050.0,3441.963498,1.0,2396.34846,1,2,3,4,5
799,Usable Directly Categorical,g,Lot,124048.0,833.0,,9018.0,92.19630304,1.0,314.8367934,10,17,18,19,21
829,Usable Directly Categorical,h,NumBldgs,124048.0,83.0,,417.0,1.135004192,0.0,2.420658442,1,0,4,2,3
849,Usable Directly Categorical,g,TaxMap,124048.0,73.0,,53203.0,51465.70894,5.0,1211.294875,50101,,50102,50103,50104
860,Usable Directly Categorical,g,Police District,82958.0,99.0,,0.0,0.0,0.0,0.0,690,590,822,642,620
870,Usable Directly Categorical,g,Police District,80256.0,102.0,,0.0,0.0,0.0,0.0,690,590,822,642,530
880,Usable Directly Categorical,g,Police District,73590.0,107.0,,0.0,0.0,0.0,0.0,690,590,822,642,530
890,Usable Directly Categorical,g,Police District,70964.0,105.0,,0.0,0.0,0.0,0.0,690,590,822,830,642
900,Usable Directly Categorical,g,Police District,64618.0,102.0,,0.0,0.0,0.0,0.0,590,822,830,850,871
910,Usable Directly Categorical,g,Police District,59853.0,103.0,,0.0,0.0,0.0,0.0,590,822,830,850,871
920,Usable Directly Categorical,g,Police District,61281.0,104.0,,0.0,0.0,0.0,0.0,690,590,822,830,530
930,Usable Directly Categorical,g,Police District,63279.0,105.0,,0.0,0.0,0.0,0.0,690,822,830,850,871
940,Usable Directly Categorical,g,Police District,61779.0,108.0,,0.0,0.0,0.0,0.0,690,822,642,620,830
950,Usable Directly Categorical,g,Police District,61497.0,109.0,,0.0,0.0,0.0,0.0,890,842,902,830,642
92,Usable Directly Categorical,i,against_bug,801.0,5.0,,4.0,0.996254682,0.25,0.596874677999999,1,0.5,0.25,2,4
93,Usable Directly Categorical,i,against_dark,801.0,5.0,,4.0,1.057116105,0.25,0.437868002,1,0.5,2,0.25,4
94,Usable Directly Categorical,i,against_dragon,801.0,4.0,,2.0,0.968789014,0.0,0.352837127999999,1,0,0.5,2,2
95,Usable Directly Categorical,i,against_electric,801.0,6.0,,4.0,1.073970037,0.0,0.654552649,0.5,1,2,0,4
96,Usable Directly Categorical,i,against_fairy,801.0,5.0,,4.0,1.06897628,0.25,0.521840784,0.5,1,2,0.25,4
97,Usable Directly Categorical,i,against_fight,801.0,6.0,,4.0,1.065543071,0.0,0.716802956,0.5,1,0.25,2,0
98,Usable Directly Categorical,i,against_fire,801.0,5.0,,4.0,1.13545568,0.25,0.691420635999999,2,0.5,1,4,0.25
99,Usable Directly Categorical,i,against_flying,801.0,5.0,,4.0,1.192883895,0.25,0.604110387999999,2,1,0.5,4,0.25
100,Usable Directly Categorical,i,against_ghost,801.0,5.0,,4.0,0.985018727,0.0,0.557907882,1,0,2,0.5,4
101,Usable Directly Categorical,i,against_grass,801.0,5.0,,4.0,1.034019975,0.25,0.788403352,0.25,0.5,2,1,4
102,Usable Directly Categorical,i,against_ground,801.0,6.0,,4.0,1.098002497,0.0,0.738356819,1,2,0,0.5,0.25
103,Usable Directly Categorical,i,against_ice,801.0,5.0,,4.0,1.208177278,0.25,0.734896987,2,0.5,1,0.25,4
104,Usable Directly Categorical,i,against_normal,801.0,4.0,,1.0,0.88701623,0.0,0.265939948,1,0.5,0,0.25,1
105,Usable Directly Categorical,i,against_poison,801.0,6.0,,4.0,0.975343321,0.0,0.54903221,1,0.5,0.25,2,0
106,Usable Directly Categorical,i,against_psychic,801.0,6.0,,4.0,1.005305868,0.0,0.494873784,2,1,0.5,0,0.25
107,Usable Directly Categorical,i,against_rock,801.0,5.0,,4.0,1.25031211,0.25,0.696712829,1,2,4,0.5,0.25
108,Usable Directly Categorical,i,against_steel,801.0,5.0,,4.0,0.983458177,0.25,0.499804357,1,0.5,2,0.25,4
109,Usable Directly Categorical,i,against_water,801.0,5.0,,4.0,1.058364544,0.25,0.606183242999999,0.5,2,1,4,0.25
175,Usable Directly Categorical,j,zip,13.0,13.0,,95712.0,55280.6153799999,7093.0,29060.6326399999,7093,10001,13417,46312,56567
201,Usable Directly Categorical,i,zip,107093.0,649.0,,941331022.0,350858.4864,-1.0,14545736.41,10016,10003,10028,60626,10159
955,Usable Directly Categorical,f,location,1420.0,105.0,,0.0,0.0,0.0,0.0,O02,P01,P02,R01,R02
975,Usable Directly Categorical,h,group.who,5807.0,202.0,,0.0,0.0,0.0,0.0,Members,Founding Moms,Readers,Book Readers,Bookworms
91,Usable Directly Categorical,,trackable_name,2483304.0,48680.0,,0.0,0.0,0.0,0.0,Ulcerative colitis,pain in left upper arm felt like i was getting a shot,hip pain when gettin up,pain in hand joints,numbness in right hand
153,Usable Directly Categorical,,#Table1,10001.0,893.0,,0.0,0.0,0.0,0.0,fiberid,491,541,513,510
155,Usable Directly Categorical,,year,8406.0,25.0,,2014.0,2002.188437,1990.0,7.151179389,2014,2013,2012,2011,2010
216,Usable Directly Categorical,,Caller ID Number,943111.0,177597.0,,0.0,0.0,0.0,0.0,866-410-0458,619-840-7262,626-691-9090,877-218-8361,877-705-6767
218,Usable Directly Categorical,,Advertiser Business Number,943111.0,77911.0,,0.0,0.0,0.0,0.0,,619-840-7262,626-691-9090,484-938-8231,213-905-6397
221,Usable Directly Categorical,,Zip,943111.0,32215.0,,0.0,0.0,0.0,0.0,33324,92078,7481,1748,60504
229,Usable Directly Categorical,,Project Name,151623.0,5573.0,,0.0,0.0,0.0,0.0,Rural Infrastr (FY00) - (PNIR),ID-W. JAVA ENVMT MGMT,TP-FUNDAMENTAL SCHOOL QUALITY PROJECT,BD: Rural Transport Improvement Project,DEVELOPMENT PROJECT
307,Usable Directly Categorical,,ceremony,225675.0,3428.0,,0.0,0.0,0.0,0.0,ACCEC Awards,Alliance of Women Film Journalists,"Amanda Awards, Norway",Argentinean Film Critics Association Awards,Bangkok International Film Festival
319,Usable Directly Categorical,,year,331.0,47.0,,2017.0,1998.175227,1968.0,11.71486994,2016,2013,2012,2007,2006
321,Usable Directly Categorical,,outcome,331.0,4.0,,0.0,0.0,0.0,0.0,Nominated,Won,2nd place,3rd place,Nominated
403,Usable Directly Categorical,,Date,8190.0,182.0,,0.0,0.0,0.0,0.0,2010-05-02 00:00:00,2010-12-02 00:00:00,19/02/10,26/02/10,2010-05-03 00:00:00
595,Usable Directly Categorical,,Suburb,34857.0,351.0,,0.0,0.0,0.0,0.0,Abbotsford,Airport West,Albert Park,Alphington,Altona
601,Usable Directly Categorical,,SellerG,34857.0,388.0,,0.0,0.0,0.0,0.0,Jellis,Biggin,Rounds,Nelson,Collins
610,Usable Directly Categorical,,YearBuilt,34857.0,160.0,,2106.0,1965.289885,1196.0,37.32697782,,1900,2014,2006,1910
616,Usable Directly Categorical,,match_id,150460.0,636.0,,636.0,318.2813173,1.0,182.954923,1,2,3,4,5
638,Usable Directly Categorical,,season,636.0,10.0,,2017.0,2012.490566,2008.0,2.77084535,2017,2008,2009,2010,2011
731,Usable Directly Categorical,,For Year,1781.0,6.0,,2016.0,2013.305348,1215.0,19.94693012,2012,2013,2014,2015,2016
781,Usable Directly Categorical,,site_order,188462.0,311.0,,501.0,4.596156211,-50.0,12.61943242,1,2,6,11,3
793,Usable Directly Categorical,,year,626.0,15.0,,2012.0,2004.864217,1998.0,4.313856578,1998,1999,2000,2001,2002
800,Usable Directly Categorical,,ZIP,1351.0,1111.0,,0.0,0.0,0.0,0.0,00984-3869,00909-0000,00927-5131,00690-0580,00653-1347
801,Usable Directly Categorical,,GROUP,1351.0,92.0,,9524.0,715.3789785,0.0,1704.750488,0,9113,2046,9243,1678
802,Usable Directly Categorical,,SUBSECTION,1351.0,13.0,,19.0,3.550703183,1.0,2.322017811,3,4,7,5,10
811,Usable Directly Categorical,,TAX_PERIOD,1351.0,33.0,,201706.0,201569.7686,200706.0,73.45229219,,201506,201609,201612,201412
828,Usable Directly Categorical,,ZIP,1973.0,634.0,,0.0,0.0,0.0,0.0,00000-0000,96799-1715,00823-6193,00802-6003,09366-0000
829,Usable Directly Categorical,,GROUP,1973.0,131.0,,9386.0,471.8783578,0.0,1575.241726,0,1894,3254,9321,955
830,Usable Directly Categorical,,SUBSECTION,1973.0,13.0,,92.0,4.043588444,2.0,5.213060686,3,7,5,6,4
839,Usable Directly Categorical,,TAX_PERIOD,1973.0,52.0,,201706.0,201555.879,200012.0,109.946921,201612,201512,201608,201703,
856,Usable Directly Categorical,,ZIP,240579.0,175390.0,,0.0,0.0,0.0,0.0,01069-1507,02127-4415,01852-2348,01840-1242,02126-2433
857,Usable Directly Categorical,,GROUP,240579.0,1592.0,,9706.0,507.878011,0.0,1513.789482,3125,2365,0,2062,928
867,Usable Directly Categorical,,TAX_PERIOD,240579.0,159.0,,201707.0,201573.4943,198812.0,95.82580695,,201612,201512,201705,201605
884,Usable Directly Categorical,,ZIP,619129.0,454028.0,,0.0,0.0,0.0,0.0,40202-2504,23523-2112,46513-0000,49780-9349,21705-7511
885,Usable Directly Categorical,,GROUP,619129.0,2589.0,,9707.0,865.5993824,0.0,1970.373963,1736,0,928,557,1961
912,Usable Directly Categorical,,ZIP,768922.0,601268.0,,0.0,0.0,0.0,0.0,32334-0092,65802-1894,33975-0296,92105-1462,94401-1833
913,Usable Directly Categorical,,GROUP,768922.0,2788.0,,9705.0,739.1877434,0.0,1853.934136,2024,1678,0,3125,3158
940,Usable Directly Categorical,,ZIP,3324.0,1745.0,,0.0,0.0,0.0,0.0,00000-0000,00984-3869,00909-0000,96799-1715,00927-5131
941,Usable Directly Categorical,,GROUP,3324.0,189.0,,9524.0,570.8462696,0.0,1633.505581,0,9113,2046,1894,3254
942,Usable Directly Categorical,,SUBSECTION,3324.0,16.0,,92.0,3.843261131,1.0,4.287268079,3,7,5,6,4
951,Usable Directly Categorical,,TAX_PERIOD,3324.0,55.0,,201706.0,201561.2375,200012.0,97.73364145,201612,,201506,201512,201608
1017,Usable Directly Categorical,,SYMBOL,65188.0,2328.0,,0.0,0.0,0.0,0.0,AGRN,B3GALT6,ATAD3A,TMEM240,GNB1
1055,Usable Directly Categorical,,YEAR,1224.0,24.0,,2015.0,2003.5,1992.0,6.922186552,1992,1993,1994,1995,1996
9,Usable Directly Categorical,j,M1_sequence_number,2314.0,80.0,,134.0,56.77139153,0.0,42.50537648,2,86,126,128,46
175,Usable Directly Categorical,f,SERVER,1781.0,239.0,,0.0,0.0,0.0,0.0,nginx,Apache/2.4.10,Microsoft-HTTPAPI/2.0,None,Apache/2
176,Usable Directly Categorical,,Permit Number,198900.0,181495.0,,0.0,0.0,0.0,0.0,202000000000,202000000000,202000000000,202000000000,202000000000
389,Usable Directly Categorical,i,Numot,2050.0,4.0,,3.0,0.070731707,0.0,0.288599564,0,1,3,2,0
391,Usable Directly Categorical,i,Seed,2150.0,88.0,,0.0,0.0,0.0,0.0,W01,W02,W03,W04,W05
401,Usable Directly Categorical,g,Block,198900.0,4896.0,,0.0,0.0,0.0,0.0,326,306,595,156,342
402,Usable Directly Categorical,g,Street Number,198900.0,5099.0,,8400.0,1121.728944,0.0,1135.766093,140,440,1647,1230,950
572,Usable Directly Categorical,j,Loan.Theme.ID,4861.0,63.0,,0.0,0.0,0.0,0.0,a1050000002ZOr8,a1050000006Tm5J,a1050000000wf0w,a1050000002ZOqt,a1050000006Tm4k
724,Usable Directly Categorical,i,q9CurrentRole,25090.0,21.0,,0.0,0.0,0.0,0.0,18,10,2,0,19
725,Usable Directly Categorical,i,q10Industry,25090.0,22.0,,0.0,0.0,0.0,0.0,0,5,4,14,13
728,Usable Directly Categorical,i,Season,33.0,33.0,,2017.0,2001.0,1985.0,9.521904571,1985,1986,1987,1988,1989
774,Usable Directly Categorical,f,HomeTeam,4572.0,77.0,,0.0,0.0,0.0,0.0,France,USA,Yugoslavia,Romania,Argentina
775,Usable Directly Categorical,f,AwayTeam,4572.0,82.0,,0.0,0.0,0.0,0.0,Mexico,Belgium,Brazil,Peru,France
784,Usable Directly Categorical,i,PHONE,399918.0,25165.0,,0.0,0.0,0.0,0.0,2126863400,3478134702,7189839854,7187019180,9172852796
817,Usable Directly Categorical,i,Year,4572.0,20.0,,2014.0,1985.089202,1930.0,22.43564664,1930,1934,1938,1950,1954
819,Usable Directly Categorical,f,Winner,20.0,9.0,,0.0,0.0,0.0,0.0,Uruguay,Italy,Germany FR,Brazil,England
820,Usable Directly Categorical,f,Runners-Up,20.0,10.0,,0.0,0.0,0.0,0.0,Argentina,Czechoslovakia,Hungary,Brazil,Sweden
821,Usable Directly Categorical,f,Third,20.0,14.0,,0.0,0.0,0.0,0.0,USA,Germany,Brazil,Sweden,Austria
822,Usable Directly Categorical,f,Fourth,20.0,16.0,,0.0,0.0,0.0,0.0,Yugoslavia,Austria,Sweden,Spain,Uruguay
914,Usable Directly Categorical,f,Season,2050.0,32.0,,2016.0,2000.676585,1985.0,9.272528955,1985,1986,1987,1988,1989
915,Usable Directly Categorical,i,Season,914.0,14.0,,2016.0,2009.578775,2003.0,4.036868956,2003,2004,2005,2006,2007
916,Usable Directly Categorical,i,Season,2150.0,33.0,,2017.0,2001.19023299999,1985.0,9.56104487,1985,1986,1987,1988,1989
917,Usable Directly Categorical,i,Season,2117.0,33.0,,2017.0,2001.193198,1985.0,9.561623767,1985,1986,1987,1988,1989
918,Usable Directly Categorical,i,Slot,2117.0,75.0,,0.0,0.0,0.0,0.0,R1W1,R1W2,R1W3,R1W4,R1W5
919,Usable Directly Categorical,i,Strongseed,2117.0,75.0,,0.0,0.0,0.0,0.0,W01,W02,W03,W04,W05
920,Usable Directly Categorical,i,Weakseed,2117.0,75.0,,0.0,0.0,0.0,0.0,W16,W15,W14,W13,W12
939,Usable Directly Categorical,j,license_number,66042.0,42239.0,,90097444.0,461356.8154,1254.0,724345.8948,130651,898148,29654,75432,729899
1076,Usable Directly Categorical,i,Lot,198900.0,1055.0,,0.0,0.0,0.0,0.0,23,7,203,11,1
32,Usable Directly Categorical,h,outcome_hour,29421.0,22.0,,23.0,14.00577819,0.0,3.863203381,16,18,17,14,19
188,Usable Directly Categorical,g,Local,425.0,12.0,,0.0,0.0,0.0,0.0,Local_01,Local_02,Local_03,Local_04,Local_05
191,Usable Directly Categorical,g,Local,439.0,12.0,,0.0,0.0,0.0,0.0,Local_01,Local_02,Local_03,Local_04,Local_05
208,Usable Directly Categorical,f,ACTOR1,165808.0,3288.0,,0.0,0.0,0.0,0.0,Police Forces of Algeria (1999-),Rioters (Algeria),Protesters (Algeria),Unidentified Armed Group (Algeria),GIA: Armed Islamic Group
213,Usable Directly Categorical,h,Machining_Process,605.0,9.0,,0.0,0.0,0.0,0.0,Prep,Layer 1 Up,Layer 1 Down,Repositioning,Layer 2 Up
398,Usable Directly Categorical,f,LOCATION,165808.0,17936.0,,0.0,0.0,0.0,0.0,Beni Douala,Tizi Ouzou,Amizour,El Kseur,Barbacha
421,Usable Directly Categorical,h,dob_year,29421.0,26.0,,2017.0,2013.982428,1992.0,2.965523173,2014,2013,2012,2011,2010
509,Usable Directly Categorical,i,year,11673.0,66.0,,2017.0,2001.97275799999,1950.0,13.47478723,1970,1978,1987,1979,1976
927,Usable Directly Categorical,h,Machining_Process,565.0,6.0,,0.0,0.0,0.0,0.0,Prep,Layer 1 Up,Layer 1 Down,Repositioning,Layer 2 Up
1019,Usable Directly Categorical,h,Machining_Process,740.0,9.0,,0.0,0.0,0.0,0.0,Prep,Layer 1 Up,Layer 1 Down,Repositioning,Layer 2 Up
2,Usable Directly Categorical,i,year,79422.0,46.0,0.0,2015.0,1993.368941,1970.0,13.1782989999999,2015,2014,2013,2012,2011
7,Usable Directly Categorical,i,year,80583.0,46.0,0.0,2015.0,1993.23675,1970.0,13.20554994,2015,2014,2013,2012,2011
